,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
529,841,2012-07-07 12:35:41.759900,3647839,121.032,23.2032,9.0,51.637561,3.9,7.211072
530,841,2012-11-18 22:12:49.229800,3343748,120.8657,22.8503,11.8,23.833837,3.5,7.200401
531,841,2013-03-10 00:06:59.200000,3086601,121.118,22.877,16.7,16.196506,3.4,7.166629
532,841,2013-02-16 08:07:46.409800,3144294,121.4335,23.0701,20.1,52.669839,3.9,7.147829
533,841,2013-01-14 14:27:31.029900,3221716,121.2867,22.7367,17.5925,22.746171,3.51,7.147555
534,841,2013-01-14 14:27:31.029900,3221715,121.2867,22.7367,17.6,22.746171,3.5,7.132417
535,841,2012-06-06 07:48:51.679800,3726458,121.483,22.406,13.2726,56.748229,3.9,7.118965
536,841,2013-02-20 15:20:27.269900,3135423,121.531,23.183,11.4,68.598227,4.0,7.115543
537,841,2012-08-17 04:09:21.529900,3553167,121.3344,22.3243,84.3,53.857431,4.2,7.099691
538,841,2012-12-22 03:24:35.369800,3269951,121.5833,22.0255,16.2722,95.651865,4.18,7.096223
539,841,2012-05-06 06:30:47.259900,3806341,121.1838,22.3827,43.2,41.542001,3.9,7.094666
540,841,2013-03-10 00:06:59.200000,3086602,121.118,22.877,16.66,16.196506,3.35,7.092701
541,841,2013-02-20 15:20:28.739900,3135424,121.4991,23.2101,20.5,68.63213,4.0,7.08983
542,841,2012-12-31 07:51:42.920000,3251473,120.9269,23.4512,4.2806,80.353711,4.06,7.078757
543,841,2013-02-04 06:10:15.599900,3175245,121.057,22.728,15.55,1.543845,3.11,7.077279
544,841,2013-02-19 02:12:45.399800,3136404,120.5428,23.3594,17.9844,87.181615,4.11,7.066052
545,841,2013-02-04 06:10:15.599900,3175244,121.057,22.728,15.6,1.543845,3.1,7.059518
546,841,2012-10-22 20:15:58.339900,3403925,121.015,22.721,7.6,5.530841,2.8,7.053792
547,841,2013-03-27 02:21:17.599900,3045784,121.355,22.686,83.66,30.348961,4.1,7.051272
548,841,2013-03-27 02:21:17.599900,3045783,121.355,22.686,83.7,30.348961,4.1,7.050905
549,841,2012-05-01 17:45:21.579900,3819943,120.6832,22.8058,20.4,39.819356,3.7,7.048592
550,841,2012-10-24 10:43:45.149800,3398473,121.007,22.829,11.6,11.560145,3.11,7.036546
551,841,2012-12-17 09:00:43.429800,3280616,121.2251,22.0769,14.9,75.528252,4.0,7.0272
552,841,2012-10-24 10:43:45.149800,3398472,121.007,22.829,11.6,11.560145,3.1,7.021546
553,841,2013-03-21 07:37:28.929800,3060062,121.046,22.78,5.0,4.872773,2.6,7.01208
554,841,2012-07-22 04:26:37.039900,3611537,120.909,22.807,4.52,17.646569,3.15,7.004082
555,841,2012-07-27 16:21:55.079900,3600728,121.2621,22.9501,12.8,30.903836,3.5,7.001214
556,881,2013-09-19 11:43:54.829900,2611663,-117.7856,34.0206,3.771,11.644663,3.8,8.324434
557,881,2013-09-19 11:43:54.829900,2611662,-117.7856,34.0206,3.8,11.644663,3.8,8.323798
558,881,2013-09-19 12:06:33.109800,2611689,-117.7875,34.053,5.2,15.046422,3.9,8.246134
559,881,2013-09-19 12:06:33.109800,2611690,-117.7875,34.053,5.2102,15.046422,3.9,8.245952
560,881,2013-09-19 12:06:33.519900,2611691,-117.784,34.081667,3.328,18.2217,3.75,7.889572
561,881,2013-09-19 11:43:55.909800,2611664,-117.785,34.081667,2.618,18.201626,3.68,7.790887
562,881,2013-05-15 20:00:06.230000,2924576,-118.372167,33.658333,1.083,58.237859,4.08,7.389439
