,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
239,840,2013-12-06 19:22:59.649800,2433857,122.5275,23.8597,20.13,99.397223,4.7,7.837795
240,840,2013-11-23 09:01:11.339900,2462349,121.974,24.201,27.02,54.639922,4.4,7.829971
241,840,2013-05-29 01:33:57.319900,2887525,122.3846,23.9299,15.7812,84.832136,4.6,7.828104
242,840,2013-07-20 19:19:46.099900,2756539,121.4862,24.2805,6.6,43.088618,4.2,7.821203
243,840,2013-07-20 19:19:46.059900,2756538,121.46,24.276,8.0,43.083838,4.2,7.81665
244,840,2013-10-31 16:05:06.809900,2519374,121.48,23.6761,12.9906,25.651849,3.95,7.807614
245,840,2013-08-18 14:57:00.759900,2685528,122.5154,23.9181,21.4436,98.082572,4.67,7.801539
246,840,2013-09-18 03:33:17.109800,2613441,122.0776,24.5429,13.43,89.464638,4.6,7.787019
247,840,2013-10-27 08:27:13.230000,2528140,121.6882,23.8115,45.5825,16.932735,4.24,7.786264
248,840,2013-10-27 08:27:13.230000,2528139,121.6882,23.8115,45.6,16.932735,4.2,7.725971
249,840,2013-10-31 12:09:11.599900,2518352,121.407,23.632,10.8,32.951093,4.0,7.719946
250,840,2014-01-24 01:43:18.929800,2315714,121.5032,23.7973,12.5,12.148848,3.6,7.717349
251,840,2013-10-31 19:27:14.500000,2519805,121.4697,23.6678,17.2522,26.842406,3.95,7.717187
252,840,2013-09-18 03:33:17.940000,2613442,122.1087,24.5988,19.5,96.333721,4.6,7.715003
253,840,2013-10-27 08:27:13.250000,2528141,121.6823,23.8331,46.95,15.169294,4.2,7.713606
254,840,2013-10-31 13:57:12.269900,2518846,121.4508,23.5775,10.7417,37.010599,4.05,7.703224
255,840,2013-11-12 12:08:20.509900,2488672,121.4917,23.795,14.5749,12.886091,3.64,7.681958
256,840,2013-08-28 11:55:46.319900,2662890,121.786,24.1373,50.0,35.799841,4.3,7.672321
257,840,2013-05-30 03:14:41.679800,2885473,121.69,23.862,59.8,14.693972,4.3,7.671137
258,840,2013-08-24 14:46:43.469800,2672611,121.0594,23.8937,14.95,49.95929,4.2,7.665522
259,840,2013-11-04 10:32:35.729800,2507346,121.4797,23.9347,16.6,8.326545,3.6,7.662318
260,840,2013-10-31 12:09:11.599900,2518353,121.407,23.632,10.84,32.951093,3.96,7.659633
261,840,2014-01-24 01:43:18.929800,2315715,121.5032,23.7973,12.4669,12.148848,3.56,7.658531
262,840,2013-07-20 19:19:46.099900,2756540,121.4862,24.2805,6.6486,43.088618,4.09,7.656056
263,840,2013-12-25 07:38:55.759900,2391383,121.4457,23.6778,16.9,26.668437,3.9,7.651385
264,840,2013-12-25 07:38:55.259900,2391382,121.438,23.6557,12.88,29.2354,3.9,7.641143
265,840,2013-10-31 14:27:49.099900,2518977,121.4768,23.63,9.7,30.684133,3.9,7.634805
266,840,2013-08-24 14:46:43.630000,2672612,121.0497,23.8932,18.3,50.945986,4.2,7.633076
267,840,2013-10-31 13:57:12.269900,2518845,121.4508,23.5775,10.7,37.010599,4.0,7.628486
268,840,2013-06-20 15:11:08.779900,2833432,121.4905,23.9058,12.8144,6.198815,3.42,7.623287
269,840,2013-11-12 12:08:20.509900,2488671,121.4917,23.795,14.6,12.886091,3.6,7.621119
270,840,2013-06-20 15:11:08.779900,2833431,121.4905,23.9058,12.8,6.198815,3.4,7.594079
